R,N,T,capf
39,W,1,0.6
39,W,2,0.57
39,W,3,0.46
39,W,4,0.59
39,W,5,0.57
39,W,6,0.59
39,W,7,0.59
39,W,8,0.59
39,W,9,0.71
39,W,10,0.6
39,W,11,0.58
39,W,12,0.54
39,W,13,0.46
39,W,14,0.36
39,W,15,0.45
39,W,16,0.45
39,W,17,0.44
39,W,18,0.44
39,W,19,0.45
39,W,20,0.39
39,W,21,0.3
39,W,22,0.45
39,W,23,0.4
39,W,24,0.34
40,W,1,0.79
40,W,2,0.88
40,W,3,0.79
40,W,4,0.84
40,W,5,0.8
40,W,6,0.65
40,W,7,0.81
40,W,8,0.85
40,W,9,0.78
40,W,10,0.75
40,W,11,0.56
40,W,12,0.53
40,W,13,0.32
40,W,14,0.4
40,W,15,0.43
40,W,16,0.57
40,W,17,0.53
40,W,18,0.81
40,W,19,0.87
40,W,20,0.77
40,W,21,0.81
40,W,22,0.56
40,W,23,0.58
40,W,24,0.65
41,W,1,0.82
41,W,2,0.76
41,W,3,0.87
41,W,4,0.8
41,W,5,0.63
41,W,6,0.31
41,W,7,0.62
41,W,8,0.66
41,W,9,0.47
41,W,10,0.59
41,W,11,0.28
41,W,12,0.44
41,W,13,0.28
41,W,14,0.35
41,W,15,0.24
41,W,16,0.29
41,W,17,0.18
41,W,18,0.7
41,W,19,0.74
41,W,20,0.46
41,W,21,0.55
41,W,22,0.07
41,W,23,0.34
41,W,24,0.3
42,W,1,0.93
42,W,2,0.86
42,W,3,0.65
42,W,4,0.78
42,W,5,0.78
42,W,6,0.68
42,W,7,0.9
42,W,8,0.84
42,W,9,0.58
42,W,10,0.74
42,W,11,0.68
42,W,12,0.73
42,W,13,0.7
42,W,14,0.76
42,W,15,0.71
42,W,16,0.66
42,W,17,0.5
42,W,18,0.87
42,W,19,0.92
42,W,20,0.83
42,W,21,0.81
42,W,22,0.44
42,W,23,0.51
42,W,24,0.66
39,PV,1,0
39,PV,2,0
39,PV,3,0
39,PV,4,0
39,PV,5,0
39,PV,6,0
39,PV,7,0
39,PV,8,0
39,PV,9,0
39,PV,10,0.0096544883
39,PV,11,0.3551661667
39,PV,12,0.666744
39,PV,13,0.8123733333
39,PV,14,0.776815
39,PV,15,0.7550243333
39,PV,16,0.7510981667
39,PV,17,0.784845
39,PV,18,0.6761005
39,PV,19,0.4654462167
39,PV,20,0.1492921825
39,PV,21,0
39,PV,22,0
39,PV,23,0
39,PV,24,0
40,PV,1,0
40,PV,2,0
40,PV,3,0
40,PV,4,0
40,PV,5,0
40,PV,6,0
40,PV,7,0
40,PV,8,0
40,PV,9,0
40,PV,10,0.024309475
40,PV,11,0.60369225
40,PV,12,0.7924425
40,PV,13,0.791435125
40,PV,14,0.84008125
40,PV,15,0.8685825
40,PV,16,0.86544125
40,PV,17,0.82341
40,PV,18,0.721875
40,PV,19,0.424158625
40,PV,20,0.0961149244
40,PV,21,0
40,PV,22,0
40,PV,23,0
40,PV,24,0
41,PV,1,0
41,PV,2,0
41,PV,3,0
41,PV,4,0
41,PV,5,0
41,PV,6,0
41,PV,7,0
41,PV,8,0
41,PV,9,0
41,PV,10,0.03169155
41,PV,11,0.71975
41,PV,12,0.949685
41,PV,13,0.943975
41,PV,14,0.934815
41,PV,15,0.914545
41,PV,16,0.875745
41,PV,17,0.794585
41,PV,18,0.743945
41,PV,19,0.3505885
41,PV,20,0.01291375
41,PV,21,0
41,PV,22,0
41,PV,23,0
41,PV,24,0
42,PV,1,0
42,PV,2,0
42,PV,3,0
42,PV,4,0
42,PV,5,0
42,PV,6,0
42,PV,7,0
42,PV,8,0
42,PV,9,0
42,PV,10,0.01956245
42,PV,11,0.532848
42,PV,12,0.74608
42,PV,13,0.82478
42,PV,14,0.8638475
42,PV,15,0.8832975
42,PV,16,0.8857275
42,PV,17,0.8661225
42,PV,18,0.8314775
42,PV,19,0.78159
42,PV,20,0.28940725
42,PV,21,0
42,PV,22,0
42,PV,23,0
42,PV,24,0
39,CSP,1,0
39,CSP,2,0
39,CSP,3,0
39,CSP,4,0
39,CSP,5,0
39,CSP,6,0
39,CSP,7,0
39,CSP,8,0
39,CSP,9,0
39,CSP,10,0
39,CSP,11,0
39,CSP,12,0.17
39,CSP,13,0.51
39,CSP,14,0.58
39,CSP,15,0.62
39,CSP,16,0.62
39,CSP,17,0.7
39,CSP,18,0.48
39,CSP,19,0.29
39,CSP,20,0
39,CSP,21,0
39,CSP,22,0
39,CSP,23,0
39,CSP,24,0
40,CSP,1,0
40,CSP,2,0
40,CSP,3,0
40,CSP,4,0
40,CSP,5,0
40,CSP,6,0
40,CSP,7,0
40,CSP,8,0
40,CSP,9,0
40,CSP,10,0
40,CSP,11,0.29
40,CSP,12,0.7
40,CSP,13,0.73
40,CSP,14,0.85
40,CSP,15,0.93
40,CSP,16,0.93
40,CSP,17,0.8
40,CSP,18,0.56
40,CSP,19,0.09
40,CSP,20,0
40,CSP,21,0
40,CSP,22,0
40,CSP,23,0
40,CSP,24,0
41,CSP,1,0
41,CSP,2,0
41,CSP,3,0
41,CSP,4,0
41,CSP,5,0
41,CSP,6,0
41,CSP,7,0
41,CSP,8,0
41,CSP,9,0
41,CSP,10,0
41,CSP,11,0.46
41,CSP,12,1.04
41,CSP,13,1.06
41,CSP,14,1.06
41,CSP,15,1.03
41,CSP,16,0.97
41,CSP,17,0.8
41,CSP,18,0.65
41,CSP,19,0
41,CSP,20,0
41,CSP,21,0
41,CSP,22,0
41,CSP,23,0
41,CSP,24,0
42,CSP,1,0
42,CSP,2,0
42,CSP,3,0
42,CSP,4,0
42,CSP,5,0
42,CSP,6,0
42,CSP,7,0
42,CSP,8,0
42,CSP,9,0
42,CSP,10,0
42,CSP,11,0.23
42,CSP,12,0.5
42,CSP,13,0.76
42,CSP,14,0.9
42,CSP,15,0.98
42,CSP,16,0.98
42,CSP,17,0.9
42,CSP,18,0.75
42,CSP,19,0.53
42,CSP,20,0
42,CSP,21,0
42,CSP,22,0
42,CSP,23,0
42,CSP,24,0
