R,T,Ld
39,1,185.304
39,2,181.434
39,3,181.616
39,4,180.396
39,5,177.986
39,6,176.744
39,7,188.136
39,8,195.592
39,9,204.878
39,10,203.666
39,11,207.176
39,12,201.272
39,13,200.26
39,14,198.832
39,15,201.108
39,16,206.348
39,17,213.826
39,18,213.266
39,19,212.166
39,20,215.318
39,21,215.422
39,22,213.05
39,23,198.886
39,24,202.144
40,1,185.304
40,2,181.434
40,3,181.616
40,4,180.396
40,5,177.986
40,6,176.744
40,7,188.136
40,8,195.592
40,9,204.878
40,10,203.666
40,11,207.176
40,12,201.272
40,13,200.26
40,14,198.832
40,15,201.108
40,16,206.348
40,17,213.826
40,18,213.266
40,19,212.166
40,20,215.318
40,21,215.422
40,22,213.05
40,23,198.886
40,24,202.144
41,1,9.2652
41,2,9.0717
41,3,9.0808
41,4,9.0198
41,5,8.8993
41,6,8.8372
41,7,9.4068
41,8,9.7796
41,9,10.2439
41,10,10.1833
41,11,10.3588
41,12,10.0636
41,13,10.013
41,14,9.9416
41,15,10.0554
41,16,10.3174
41,17,10.6913
41,18,10.6633
41,19,10.6083
41,20,10.7659
41,21,10.7711
41,22,10.6525
41,23,9.9443
41,24,10.1072
42,1,546.6468
42,2,535.2303
42,3,535.7672
42,4,532.1682
42,5,525.0587
42,6,521.3948
42,7,555.0012
42,8,576.9964
42,9,604.3901
42,10,600.8147
42,11,611.1692
42,12,593.7524
42,13,590.767
42,14,586.5544
42,15,593.2686
42,16,608.7266
42,17,630.7867
42,18,629.1347
42,19,625.8897
42,20,635.1881
42,21,635.4949
42,22,628.4975
42,23,586.7137
42,24,596.3248
